"","id1","persons","v98_1","v98_2","persngrp","mailings","phongotv","ward","majpty1","majpty2","age1","age2","placebo","vote98","v98","cntany","pcntany","v96_1","v96_0","age","agemiss","agesq","majorpty","onetreat","onetreat_p"
"19954",23134,2,0,1,0,0,0,8,1,1,28,51,0,0,0,0,0,0,1,28,0,784,1,1,1
"19955",3001,1,99,99,0,0,0,15,0,0,79,79,0,99,0,0,0,1,0,79,0,6241,0,1,1
"19956",19314,2,1,1,0,3,0,26,0,0,88,88,0,1,1,0,0,1,0,88,0,7744,0,1,1
"19957",8188,1,0,0,0,0,1,29,1,1,83,83,0,0,0,0,1,0,1,83,0,6889,1,1,1
"19958",3208,1,0,0,0,0,0,16,0,0,48,48,0,0,0,0,0,0,1,48,0,2304,0,1,1
"19959",15915,1,1,1,0,3,1,7,1,1,91,91,0,1,1,0,0,1,0,91,0,8281,1,0,0
"19960",12072,1,1,1,0,2,0,26,1,1,52,52,0,1,1,0,0,1,0,52,0,2704,1,1,1
"19961",23167,2,1,0,0,1,0,25,1,1,50,49,0,1,1,0,0,1,0,50,0,2500,1,1,1
"19962",22820,1,1,1,0,3,0,18,1,1,75,75,0,1,1,0,0,1,0,75,0,5625,1,1,1
"19963",4101,1,0,0,0,0,0,7,1,1,37,37,0,0,0,0,0,1,0,37,0,1369,1,1,1
"19964",21558,1,0,0,0,2,1,12,1,1,76,76,0,0,0,0,0,0,1,76,0,5776,1,0,0
"19965",21896,1,0,0,0,3,0,19,1,1,59,59,0,0,0,0,0,0,1,59,0,3481,1,1,1
"19966",22154,2,1,1,0,3,0,25,1,1,82,85,0,1,1,0,0,1,0,82,0,6724,1,1,1
"19967",20896,1,0,0,0,2,1,8,1,1,71,71,0,0,0,0,0,1,0,71,0,5041,1,0,0
"19968",6166,1,1,1,0,0,1,11,0,0,86,86,0,1,1,0,1,1,0,86,0,7396,0,1,1
"19969",3417,2,1,1,0,2,1,10,1,1,25,26,0,1,1,0,1,0,1,25,0,625,1,0,0
"19970",10603,1,0,0,0,0,0,17,1,1,41,41,0,0,0,0,0,0,1,41,0,1681,1,1,1
"19971",13178,1,1,1,0,1,0,10,1,1,64,64,0,1,1,0,0,1,0,64,0,4096,1,1,1
"19972",9265,1,99,99,0,0,0,11,1,1,72,72,0,99,0,0,0,0,0,72,0,5184,1,1,1
"19973",12234,1,0,0,0,0,0,5,0,0,78,78,0,0,0,0,0,1,0,78,0,6084,0,1,1
"19974",11839,2,0,1,0,2,0,18,1,1,44,38,0,0,0,0,0,0,1,44,0,1936,1,1,1
"19975",10313,2,1,1,0,0,0,18,1,1,58,52,0,1,1,0,0,1,0,58,0,3364,1,1,1
"19976",18481,1,0,0,0,3,1,13,1,1,58,58,0,0,0,0,0,0,0,58,0,3364,1,0,0
"19977",21753,1,1,1,0,3,1,28,1,1,54,54,0,1,1,0,0,1,0,54,0,2916,1,0,0
"19978",14777,1,0,0,0,0,0,28,0,0,33,33,0,0,0,0,0,1,0,33,0,1089,0,1,1
"19979",7243,2,0,0,0,2,1,29,1,1,67,67,0,0,0,0,1,1,0,67,0,4489,1,0,0
"19980",10256,1,1,1,0,0,0,6,1,1,49,49,0,1,1,0,0,1,0,49,0,2401,1,1,1
"19981",17991,1,99,99,0,1,0,19,1,1,47,47,0,99,0,0,0,0,0,47,0,2209,1,1,1
"19982",4609,1,1,1,0,0,0,29,1,1,42,42,0,1,1,0,0,1,0,42,0,1764,1,1,1
"19983",10758,1,1,1,0,0,0,26,1,1,53,53,0,1,1,0,0,1,0,53,0,2809,1,1,1
"19984",10069,1,1,1,0,0,0,14,0,0,71,71,0,1,1,0,0,1,0,71,0,5041,0,1,1
"19985",20816,1,1,1,0,0,0,26,1,1,73,73,0,1,1,0,0,1,0,73,0,5329,1,1,1
"19986",14662,1,0,0,0,0,0,9,1,1,41,41,0,0,0,0,0,0,1,41,0,1681,1,1,1
"19987",5399,2,1,0,0,2,0,19,0,0,52,21,0,1,1,0,0,1,0,52,0,2704,0,1,1
"19988",6444,1,99,99,0,0,0,11,1,1,81,81,0,99,0,0,0,0,0,81,0,6561,1,1,1
"19989",470,1,0,0,0,2,0,14,1,1,42,42,0,0,0,0,0,1,0,42,0,1764,1,1,1
"19990",488,1,0,0,0,2,0,14,1,1,53,53,0,0,0,0,0,1,0,53,0,2809,1,1,1
"19991",10543,1,1,1,0,0,0,29,0,0,71,71,0,1,1,0,0,1,0,71,0,5041,0,1,1
"19992",9228,2,0,0,0,2,0,12,0,1,48,38,0,0,0,0,0,0,0,48,0,2304,0,1,1
"19993",6515,1,1,1,0,1,0,11,1,1,93,93,0,1,1,0,0,1,0,93,0,8649,1,1,1
"19994",16731,2,0,0,0,0,0,19,1,1,28,25,0,0,0,0,0,1,0,28,0,784,1,1,1
"19995",15010,1,99,99,0,0,1,11,1,1,58,58,0,99,0,0,0,0,0,58,0,3364,1,1,1
"19996",14391,2,0,0,0,0,0,13,1,1,49,50,0,0,0,0,0,1,0,49,0,2401,1,1,1
"19997",6761,2,99,1,0,0,0,25,0,0,34,36,0,99,0,0,0,0,1,34,0,1156,0,1,1
"19998",10294,2,1,0,0,0,0,18,1,1,49,30,0,1,1,0,0,1,0,49,0,2401,1,1,1
"19999",22022,1,0,0,0,1,0,9,1,1,28,28,0,0,0,0,0,0,1,28,0,784,1,1,1
"20000",2451,1,0,0,0,1,1,25,1,1,45,45,0,0,0,0,0,0,0,45,0,2025,1,0,0
"20001",15808,1,0,0,0,0,0,7,0,0,25,25,0,0,0,0,0,0,0,25,0,625,0,1,1
